isolate,lineage,hostA,host,Region,Department,Province,District,Latitude,Longitude,Altitude_(masl),collecting_year,host_group,host_group2,host_Tiina,time,haplotype,MLGnew,geo,field_number
PAMA001,EC1,S. zahlbruckneri,S. zahlbruckneri,North,Amazonas,Luya,María,-6.429777778,-77.96863889,2672,2016,wild,other,,current,IIa,MLG221,Amazonas-Luya-María,182
PAMA001-FTA,PE3,S. tuberosum,S. tuberosum Group Chaucha ,North,Amazonas,Luya,María,-6.429777778,-77.96863889,2672,2016,cultivated_potato,cultivated_potato,,current,0,MLG90,Amazonas-Luya-María,182
PAMA002,EC1,S. zahlbruckneri,S. zahlbruckneri,North,Amazonas,Luya,María,-6.429777778,-77.96863889,2672,2016,wild,other,,current,IIa,MLG221,Amazonas-Luya-María,182
PAMA002-FTA,EC1,S. tuberosum,S. tuberosum Group Chaucha ,North,Amazonas,Luya,María,-6.429777778,-77.96863889,2672,2016,cultivated_potato,cultivated_potato,,current,0,MLG256,Amazonas-Luya-María,182
PAMA003,US1,S. zahlbruckneri,S. zahlbruckneri,North,Amazonas,Luya,Tingo,-6.416472222,-77.92291667,3019,2016,wild,other,,current,Ib,MLG207,Amazonas-Luya-Tingo,2
PAMA003-FTA,PE3,S. tuberosum,S. tuberosum Group Chaucha ,North,Amazonas,Luya,María,-6.429777778,-77.96863889,2672,2016,cultivated_potato,cultivated_potato,,current,0,MLG73,Amazonas-Luya-María,182
PAMA004,US1,S. zahlbruckneri,S. zahlbruckneri,North,Amazonas,Luya,Tingo,-6.416472222,-77.92291667,3019,2016,wild,other,,current,Ib,MLG207,Amazonas-Luya-Tingo,2
PAMA004-FTA,EC1,S. tuberosum,S. tuberosum Group Chaucha ,North,Amazonas,Luya,María,-6.429777778,-77.96863889,2672,2016,cultivated_potato,cultivated_potato,,current,0,MLG201,Amazonas-Luya-María,182
PAMA005,US1,S. zahlbruckneri,S. zahlbruckneri,North,Amazonas,Luya,Tingo,-6.416472222,-77.92291667,3019,2016,wild,other,,current,Ib,MLG204,Amazonas-Luya-Tingo,2
PAMA005-FTA,PE3,S. tuberosum,S. tuberosum Group Chaucha ,North,Amazonas,Luya,María,-6.429777778,-77.96863889,2672,2016,cultivated_potato,cultivated_potato,,current,0,MLG46,Amazonas-Luya-María,182
PAMA006,EC1,S. tuberosum,S. tuberosum Group Chaucha ,North,Amazonas,Luya,María,-6.429777778,-77.96863889,2672,2016,cultivated_potato,cultivated_potato,,current,IIa,MLG195,Amazonas-Luya-María,182
PAMA006-FTA,EC1,S. tuberosum,S. tuberosum Group Chaucha ,North,Amazonas,Luya,María,-6.429777778,-77.96863889,2672,2016,cultivated_potato,cultivated_potato,,current,0,MLG57,Amazonas-Luya-María,182
PAMA007,EC1,S. tuberosum,S. tuberosum Group Chaucha ,North,Amazonas,Luya,María,-6.429777778,-77.96863889,2672,2016,cultivated_potato,cultivated_potato,,current,IIa,MLG66,Amazonas-Luya-María,182
PAMA007-FTA,PE3,S. tuberosum,S. tuberosum Group Chaucha ,North,Amazonas,Luya,María,-6.429777778,-77.96863889,2672,2016,cultivated_potato,cultivated_potato,,current,0,MLG74,Amazonas-Luya-María,182
PAMA008,EC1,S. tuberosum,S. tuberosum Group Chaucha ,North,Amazonas,Luya,María,-6.429777778,-77.96863889,2672,2016,cultivated_potato,cultivated_potato,,current,IIa,MLG191,Amazonas-Luya-María,182
PAMA008-FTA,EC1,S. tuberosum,S. tuberosum Group Chaucha ,North,Amazonas,Luya,María,-6.429777778,-77.96863889,2672,2016,cultivated_potato,cultivated_potato,,current,0,MLG196,Amazonas-Luya-María,182
PAMA009,EC1,S. tuberosum,S. tuberosum Group Chaucha ,North,Amazonas,Luya,María,-6.429777778,-77.96863889,2672,2016,cultivated_potato,cultivated_potato,,current,IIa,MLG259,Amazonas-Luya-María,182
PAMA010,EC1,S. tuberosum,S. tuberosum Group Chaucha ,North,Amazonas,Luya,María,-6.429388889,-77.94175,2915,2016,cultivated_potato,cultivated_potato,,current,IIa,MLG220,Amazonas-Luya-María,196
PAMA010-FTA,PE3,S. tuberosum,S. tuberosum Group Chaucha ,North,Amazonas,Luya,María,-6.429388889,-77.94175,2915,2016,cultivated_potato,cultivated_potato,,current,0,MLG89,Amazonas-Luya-María,196
PAMA011,EC1,S. tuberosum,S. tuberosum Group Chaucha ,North,Amazonas,Luya,María,-6.429388889,-77.94175,2915,2016,cultivated_potato,cultivated_potato,,current,IIa,MLG260,Amazonas-Luya-María,196
PAMA011-FTA,EC1,S. tuberosum,S. tuberosum Group Chaucha ,North,Amazonas,Luya,María,-6.429388889,-77.94175,2915,2016,cultivated_potato,cultivated_potato,,current,0,MLG233,Amazonas-Luya-María,196
PAMA012,EC1,S. tuberosum,S. tuberosum Group Chaucha ,North,Amazonas,Luya,María,-6.429388889,-77.94175,2915,2016,cultivated_potato,cultivated_potato,,current,IIa,MLG66,Amazonas-Luya-María,196
PAMA012-FTA,EC1,S. tuberosum,S. tuberosum Group Chaucha ,North,Amazonas,Luya,María,-6.429388889,-77.94175,2915,2016,cultivated_potato,cultivated_potato,,current,0,MLG56,Amazonas-Luya-María,196
PAMA013,EC1,S. tuberosum,S. tuberosum Group Chaucha ,North,Amazonas,Luya,María,-6.429388889,-77.94175,2915,2016,cultivated_potato,cultivated_potato,,current,IIa,MLG57,Amazonas-Luya-María,196
PAMA014,PE3,S. tuberosum,S. tuberosum Group Tuberosum,North,Amazonas,Luya,Tingo,-6.429638889,-77.93513889,2847,2016,cultivated_potato,cultivated_potato,,current,Ia,MLG88,Amazonas-Luya-Tingo,208
PAMA014-FTA,EC1,S. tuberosum,S. tuberosum Group Chaucha ,North,Amazonas,Luya,María,-6.429388889,-77.94175,2915,2016,cultivated_potato,cultivated_potato,,current,0,MLG224,Amazonas-Luya-María,196
PAMA015,PE3,S. tuberosum,S. tuberosum Group Tuberosum,North,Amazonas,Luya,Tingo,-6.429638889,-77.93513889,2847,2016,cultivated_potato,cultivated_potato,,current,Ia,MLG68,Amazonas-Luya-Tingo,208
PAMA015-FTA,EC1,S. tuberosum,S. tuberosum Group Chaucha ,North,Amazonas,Luya,María,-6.429388889,-77.94175,2915,2016,cultivated_potato,cultivated_potato,,current,0,MLG220,Amazonas-Luya-María,196
PAMA016,PE3,S. tuberosum,S. tuberosum Group Tuberosum,North,Amazonas,Luya,Longuita,-6.395333333,-77.98441667,2697,2016,cultivated_potato,cultivated_potato,,current,Ia,MLG87,Amazonas-Luya-Longuita,171
PAMA016-FTA,EC1,S. tuberosum,S. tuberosum Group Chaucha ,North,Amazonas,Luya,María,-6.429388889,-77.94175,2915,2016,cultivated_potato,cultivated_potato,,current,0,MLG57,Amazonas-Luya-María,196
PAMA017,EC1,S. tuberosum,S. tuberosum Group Tuberosum,North,Amazonas,Luya,Lamud,-6.10075,-77.94977778,2330,2016,cultivated_potato,cultivated_potato,,current,IIa,MLG245,Amazonas-Luya-Lamud,139
PAMA017-FTA,EC1,S. tuberosum,S. tuberosum Group Chaucha ,North,Amazonas,Luya,María,-6.429388889,-77.94175,2915,2016,cultivated_potato,cultivated_potato,,current,0,MLG182,Amazonas-Luya-María,196
PAMA018,EC1,S. tuberosum,S. tuberosum Group Tuberosum,North,Amazonas,Luya,Lamud,-6.149472222,-77.94897222,2824,2016,cultivated_potato,cultivated_potato,,current,IIa,MLG260,Amazonas-Luya-Lamud,1
PAMA018-FTA,EC1,S. tuberosum,S. tuberosum Group Chaucha ,North,Amazonas,Luya,María,-6.429388889,-77.94175,2915,2016,cultivated_potato,cultivated_potato,,current,0,MLG57,Amazonas-Luya-María,196
PAMA019,PE3,S. tuberosum,S. tuberosum Group Tuberosum,North,Amazonas,Luya,Lamud,-6.122527778,-77.96241667,2590,2016,cultivated_potato,cultivated_potato,,current,Ia,MLG29,Amazonas-Luya-Lamud,96
PAMA019-FTA,PE3,S. tuberosum,S. tuberosum Group Tuberosum,North,Amazonas,Luya,María,-6.429388889,-77.94175,2915,2016,cultivated_potato,cultivated_potato,,current,0,MLG23,Amazonas-Luya-María,196
PAMA020,PE3,S. tuberosum,S. tuberosum Group Tuberosum,North,Amazonas,Luya,Lamud,-6.122527778,-77.96241667,2590,2016,cultivated_potato,cultivated_potato,,current,Ia,MLG47,Amazonas-Luya-Lamud,96
PAMA020-FTA,PE3,S. tuberosum,S. tuberosum Group Tuberosum,North,Amazonas,Luya,María,-6.429388889,-77.94175,2915,2016,cultivated_potato,cultivated_potato,,current,0,MLG85,Amazonas-Luya-María,196
PAMA021-FTA,EC1,S. tuberosum,S. tuberosum Group Tuberosum,North,Amazonas,Luya,María,-6.429388889,-77.94175,2915,2016,cultivated_potato,cultivated_potato,,current,0,MLG193,Amazonas-Luya-María,196
PAMA022-FTA,EC1,S. tuberosum,S. tuberosum Group Tuberosum,North,Amazonas,Luya,María,-6.429388889,-77.94175,2915,2016,cultivated_potato,cultivated_potato,,current,0,MLG192,Amazonas-Luya-María,196
PAMA023-FTA,PE3,S. tuberosum,S. tuberosum Group Tuberosum,North,Amazonas,Luya,Longuita,-6.395333333,-77.98441667,2697,2016,cultivated_potato,cultivated_potato,,current,0,MLG79,Amazonas-Luya-Longuita,171
PAMA024,PE3,S. tuberosum,S. tuberosum Group Tuberosum,North,Amazonas,Luya,Longuita,-6.399444444,-77.98152778,2718,2017,cultivated_potato,cultivated_potato,,current,Ia,MLG46,Amazonas-Luya-Longuita,149
PAMA024-FTA,PE3,S. tuberosum,S. tuberosum Group Tuberosum,North,Amazonas,Luya,Longuita,-6.395333333,-77.98441667,2697,2016,cultivated_potato,cultivated_potato,,current,0,MLG75,Amazonas-Luya-Longuita,171
PAMA025,PE3,S. tuberosum,S. tuberosum Group Tuberosum,North,Amazonas,Luya,Tingo,-6.392111111,-77.93452778,2274,2017,cultivated_potato,cultivated_potato,,current,Ia,MLG44,Amazonas-Luya-Tingo,14
PAMA025-FTA,PE3,S. tuberosum,S. tuberosum Group Tuberosum,North,Amazonas,Luya,Longuita,-6.395333333,-77.98441667,2697,2016,cultivated_potato,cultivated_potato,,current,0,MLG46,Amazonas-Luya-Longuita,171
PAMA026,EC1,S. tuberosum,S. tuberosum Group Tuberosum,North,Amazonas,Luya,Tingo,-6.392111111,-77.93452778,2274,2017,cultivated_potato,cultivated_potato,,current,IIa,MLG196,Amazonas-Luya-Tingo,14
PAMA026-FTA,EC1,S. tuberosum,S. tuberosum Group Tuberosum,North,Amazonas,Luya,Tingo,-6.429638889,-77.93513889,2847,2016,cultivated_potato,cultivated_potato,,current,0,MLG84,Amazonas-Luya-Tingo,208
PAMA027,PE3,S. tuberosum,S. tuberosum Group Tuberosum,North,Amazonas,Luya,Longuita,-6.397944444,-77.9635,2536,2017,cultivated_potato,cultivated_potato,,current,0,MLG74,Amazonas-Luya-Longuita,160
PAMA028,EC1,S. tuberosum,S. tuberosum Group Tuberosum,North,Amazonas,Luya,Longuita,-6.397944444,-77.9635,2536,2017,cultivated_potato,cultivated_potato,,current,IIa,MLG257,Amazonas-Luya-Longuita,160
PAMA028-FTA,EC1,S. tuberosum,S. tuberosum Group Tuberosum,North,Amazonas,Luya,Tingo,-6.429638889,-77.93513889,2847,2016,cultivated_potato,cultivated_potato,,current,0,MLG198,Amazonas-Luya-Tingo,208
PAMA029-FTA,PE3,S. tuberosum,S. tuberosum Group Tuberosum,North,Amazonas,Luya,Tingo,-6.429638889,-77.93513889,2847,2016,cultivated_potato,cultivated_potato,,current,0,MLG74,Amazonas-Luya-Tingo,208
PAMA030-FTA,EC1,S. tuberosum,S. tuberosum Group Tuberosum,North,Amazonas,Luya,Lamud,-6.10075,-77.94977778,2330,2016,cultivated_potato,cultivated_potato,,current,0,MLG65,Amazonas-Luya-Lamud,139
PAMA031,EC1,S. tuberosum,S. tuberosum Group Tuberosum,North,Amazonas,Luya,Longuita,-6.399444444,-77.98152778,2718,2017,cultivated_potato,cultivated_potato,,current,IIa,MLG252,Amazonas-Luya-Longuita,149
PAMA031-FTA,EC1,S. tuberosum,S. tuberosum Group Tuberosum,North,Amazonas,Luya,Lamud,-6.10075,-77.94977778,2330,2016,cultivated_potato,cultivated_potato,,current,0,MLG257,Amazonas-Luya-Lamud,139
PAMA032,EC1,S. tuberosum,S. tuberosum Group Tuberosum,North,Amazonas,Luya,Tingo,-6.392111111,-77.93452778,2274,2017,cultivated_potato,cultivated_potato,,current,Ia,MLG196,Amazonas-Luya-Tingo,14
PAMA033-FTA,PE3,S. tuberosum,S. tuberosum Group Tuberosum,North,Amazonas,Luya,Lamud,-6.149472222,-77.94897222,2824,2016,cultivated_potato,cultivated_potato,,current,0,MLG72,Amazonas-Luya-Lamud,1
PAMA034,PE3,S. tuberosum,S. tuberosum Group Tuberosum,North,Amazonas,Luya,Longuita,-6.399444444,-77.98152778,2718,2017,cultivated_potato,cultivated_potato,,current,0,MLG46,Amazonas-Luya-Longuita,149
PAMA034-FTA,PE3,S. tuberosum,S. tuberosum Group Tuberosum,North,Amazonas,Luya,Lamud,-6.149472222,-77.94897222,2824,2016,cultivated_potato,cultivated_potato,,current,0,MLG86,Amazonas-Luya-Lamud,1
PAMA035,US1,S. ochrantum,S. ochrantum,North,Amazonas,María,María,-6.429888889,-77.97227778,2717,2017,wild_tomato,other,,current,Ib,MLG61,Amazonas-María-María,25
PAMA035-FTA,EC1,S. tuberosum,S. tuberosum Group Tuberosum,North,Amazonas,Luya,Lamud,-6.149472222,-77.94897222,2824,2016,cultivated_potato,cultivated_potato,,current,0,MLG206,Amazonas-Luya-Lamud,1
PAMA036,US1,S. ochrantum,S. ochrantum,North,Amazonas,María,María,-6.429888889,-77.97227778,2717,2017,wild_tomato,other,,current,Ib,MLG61,Amazonas-María-María,25
PAMA036-FTA,PE3,S. tuberosum,S. tuberosum Group Tuberosum,North,Amazonas,Luya,Lamud,-6.122527778,-77.96241667,2590,2016,cultivated_potato,cultivated_potato,,current,0,MLG27,Amazonas-Luya-Lamud,96
PAMA037,US1,S. ochrantum,S. ochrantum,North,Amazonas,María,María,-6.429888889,-77.97227778,2717,2017,wild_tomato,other,,current,Ib,MLG61,Amazonas-María-María,25
PAMA037-FTA,PE3,S. tuberosum,S. tuberosum Group Tuberosum,North,Amazonas,Luya,Lamud,-6.122527778,-77.96241667,2590,2016,cultivated_potato,cultivated_potato,,current,0,MLG46,Amazonas-Luya-Lamud,96
PAMA038,US1,S. ochrantum,S. ochrantum,North,Amazonas,María,María,-6.429888889,-77.97227778,2717,2017,wild_tomato,other,,current,Ib,MLG61,Amazonas-María-María,25
