12,926,1,926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,D13,,,SSR8,,,SSR4,,,Pi04,,,Pi70,,,SSR6,,,Pi63,,,G11,,,SSR3,,,SSR11,,,SSR2,,,Pi4B,,
PAMA001,EC1,0,136,138,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PAMA001-FTA,PE3,0,144,144,0,266,266,0,290,294,0,166,166,0,192,195,0,242,244,0,279,279,0,160,162,0,268,270,0,341,355,0,175,175,0,205,217
PAMA002,EC1,0,136,138,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,209,217
PAMA002-FTA,EC1,0,136,136,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,266,268,0,331,355,0,173,175,204,213,217
PAMA003,US1,0,136,142,0,264,264,288,290,296,0,166,170,0,189,192,0,244,256,270,273,279,152,162,224,0,266,266,0,341,355,0,173,173,0,213,217
PAMA003-FTA,PE3,0,142,142,0,266,266,0,290,294,0,166,170,0,192,195,0,244,244,0,279,279,0,160,166,0,268,268,0,341,355,0,175,175,0,205,217
PAMA004,US1,0,136,142,0,264,264,288,290,296,0,166,170,0,189,192,0,244,256,270,273,279,152,162,224,0,266,266,0,341,355,0,173,173,0,213,217
PAMA004-FTA,EC1,0,136,140,0,264,266,284,292,294,0,166,170,0,192,192,0,242,244,0,279,279,0,152,156,0,268,268,0,331,355,0,173,175,204,213,217
PAMA005,US1,0,136,142,0,266,266,288,290,296,0,166,170,0,189,192,0,244,256,270,273,279,152,162,224,0,266,266,0,341,355,0,173,173,0,213,217
PAMA005-FTA,PE3,0,146,146,0,266,266,0,290,294,0,166,170,0,192,195,0,244,244,0,279,279,0,156,162,0,268,268,0,341,355,0,175,175,0,205,217
PAMA006,EC1,0,136,140,0,264,266,284,294,296,0,166,170,0,192,192,0,242,246,0,279,279,0,152,156,0,268,268,0,331,355,0,173,175,204,213,221
PAMA006-FTA,EC1,0,132,140,0,264,266,284,294,296,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,266,268,0,331,355,0,173,175,204,213,221
PAMA007,EC1,0,140,140,0,264,266,284,292,296,0,166,170,0,192,192,0,242,244,0,279,279,0,156,156,0,268,268,0,331,355,0,173,175,204,213,217
PAMA007-FTA,PE3,0,142,142,0,266,266,0,290,294,0,166,170,0,192,195,0,244,244,0,279,279,0,156,166,0,268,268,0,341,355,0,175,175,0,205,217
PAMA008,EC1,0,136,140,0,264,266,286,292,294,0,166,170,0,192,192,0,242,244,0,270,279,0,152,156,0,268,268,0,331,355,0,173,175,204,213,217
